#	Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
168	05-02-2022	Taiwan	19,101	+72	851 		16,969	+51	1,281		800	36	10,589,032	443,324	23,885,548 	Asia
169	05-02-2022	Nicaragua	17,709		217 		4,225		13,267		2,623	32			6,750,240 	North America
170	05-02-2022	New Zealand	17,546	+269	53 		15,105	+60	 2,388		3,508	11	6,138,862	1,227,257	5,002,100 	Australia/Oceania
171	05-02-2022	Brunei 	17,404	+713	98 		16,106	+113	1,200		39,184	221	705,356	1,588,067	444,160 	Asia
172	05-02-2022	Tajikistan	17,344	+4	124 		17,188	+5	32		1,756	13			9,878,994 	Asia
173	05-02-2022	South Sudan	16,833		137 		13,077		3,619	1	1,476	12	325,097	28,510	11,403,007 	Africa
174	05-02-2022	Cayman Islands	15,934		15 		8,553		7,366	6	237,988	224	215,963	3,225,591	66,953 	North America
175	05-02-2022	Equatorial Guinea	15,845		182 		15,521		142	 5	10,732	123	273,437	185,209	1,476,372 	Africa
176	05-02-2022	Djibouti	15,510	+3	189 		15,276	+13	45		15,343	187	275,967	272,989	1,010,908 	Africa
177	05-02-2022	Hong Kong	15,066	+351	213 		12,916		1,937		1,984	28	32,291,326	4,252,218	7,593,995 	Asia
178	05-02-2022	CAR	14,023		110 		6,859		7,054	2	2,825	22	81,294	16,378	4,963,626 	Africa
179	05-02-2022	Gibraltar	13,577	+96	101 		12,246	+162	1,230	2	403,177	2,999	495,386	14,710,794	33,675 	Europe
180	05-02-2022	San Marino	12,884		109 		11,132		1,643	2	378,440	3,202	125,140	3,675,723	34,045 	Europe
181	05-02-2022	Grenada	12,834	+60	211 		11,862	+150	761		113,220	1,861	129,032	1,138,300	113,355 	North America
182	05-02-2022	Gambia	11,880		364 		11,461		55	4	4,705	144	135,608	53,710	2,524,804 	Africa
183	05-02-2022	Yemen	11,149	+18	2,026 	+4	7,165	+12	1,958	23	361	66	265,253	8,592	30,872,718 	Asia
184	05-02-2022	Bermuda	10,921		118 		10,332		471		176,398	1,906	764,368	12,346,239	61,911 	North America
185	05-02-2022	Greenland	10,821		6 		2,761		8,054	15	190,086	105	164,926	2,897,149	56,927 	North America
186	05-02-2022	Dominica	9,722	+101	51 		8,666	+42	1,005		134,521	706	152,095	2,104,509	72,271 	North America
187	05-02-2022	Eritrea	9,631	+12	100 		9,363	+12	168		2,657	28	23,693	6,537	3,624,683 	Africa
188	05-02-2022	Liechtenstein	9,611	+142	74 		8,942		595	4	250,920	1,932	80,413	2,099,392	38,303 	Europe
189	05-02-2022	Saint Martin	9,439		61 		1,399		7,979	7	237,656	1,536	78,366	1,973,110	39,717 	North America
190	05-02-2022	Sint Maarten	9,396	+10	81 	+1	8,863	+28	452	10	215,248	1,856	62,056	1,421,607	43,652 	North America
191	05-02-2022	Monaco	8,761	+58	46 		8,362	+43	353	4	220,758	1,159	54,960	1,384,871	39,686 	Europe
192	05-02-2022	Niger	8,682	 +12	302 	+1	8,157	+8	223	1	339	12	219,395	8,570	25,601,416 	Africa
193	05-02-2022	Comoros	7,928	+58	160 		7,665	+1	103		8,818	178			899,120 	Africa
194	05-02-2022	Guinea-Bissau	7,749		158 		6,761		830	6	3,795	77	119,689	58,610	2,042,110 	Africa
195	05-02-2022	Sierra Leone	7,627		125 		N/A	N/A	N/A		926	15	259,958	31,565	8,235,511 	Africa
196	05-02-2022	Liberia	7,276		290 		5,747		1,239	2	1,387	55	139,824	26,648	5,247,084 	Africa
197	05-02-2022	Caribbean Netherlands	7,184	+29	29 		6,944	+47	211		269,953	1,090	30,126	1,132,046	26,612 	North America
198	05-02-2022	Chad	7,155		190 		4,874		2,091		417	11	191,341	11,140	17,176,544 	Africa
199	05-02-2022	Antigua and Barbuda	6,732		127 		6,318		287	1	67,848	1,280	18,901	190,492	99,222 	North America
200	05-02-2022	St. Vincent Grenadines	6,705	+8	99 	+4	6,170	+91	436	17	60,133	888	97,310	872,720	111,502 	North America
201	05-02-2022	Bhutan	5,934	+214	4 		3,557	+102	2,373		7,558	5	1,509,641	1,922,723	785,158 	Asia
202	05-02-2022	Sao Tome and Principe	5,911	+3	71 	+1	5,758	+31	82		26,196	315	29,036	128,679	225,646 	Africa
203	05-02-2022	British Virgin Islands	5,839		51 		N/A	N/A	N/A	12	191,117	1,669	98,247	3,215,731	30,552 	North America
204	05-02-2022	Turks and Caicos	5,778	+4	35 	+1	5,614	+49	129	4	146,086	885	419,792	10,613,673	39,552 	North America
205	05-02-2022	Saint Kitts and Nevis	5,475	+6	37 		5,221	+31	217	1	101,768	688	65,141	1,210,822	53,799 	North America
206	05-02-2022	St. Barth	3,435		6 		N/A	N/A	N/A		346,096	605	56,491	5,691,788	9,925 	North America
207	05-02-2022	 Solomon Islands	2,790		25 		132		2,633	5	3,909	35	5,117	7,169	713,720 	Australia/Oceania
208	05-02-2022	Palau	2,495	+143	 		1,044	+98	1,451	17	136,847		25,878	1,419,373	18,232 	 Australia/Oceania
209	05-02-2022	Anguilla	2,384		8 		2,341		35	4	156,667	526	51,382	3,376,618	15,217 	North America
210	05-02-2022	Kiribati	1,387	+350	 				 1,387		11,334				122,371 	Australia/Oceania
211	05-02-2022	Saint Pierre Miquelon	976	+12	1 		872	+19	103	1	169,769	174	17,273	3,004,523	5,749 	North America
212	05-02-2022	 Diamond Princess	712		13 		699		0						 	
213	05-02-2022	Wallis and Futuna	454		7 		438		9		41,556	641	20,508	1,877,162	10,925 	Australia/Oceania
214	05-02-2022	Montserrat	163		1 		161	+2	1	2	32,620	200	7,796	1,560,136	4,997 	North America
215	05-02-2022	Falkland Islands	89		 		N/A	N/A	N/A	 	24,444		8,632	2,370,777	3,641 	South America
216	05-02-2022	Macao	79		 		79		0		119		5,217	7,863	663,449 	Asia
217	05-02-2022	Samoa	33	 	 		3		30		165				200,517 	Australia/Oceania
218	05-02-2022	Vatican City	29		 		28		1		36,070				804 	Europe
219	05-02-2022	Western Sahara	10		1 		8		1		16	2			620,737 	Africa
220	05-02-2022	MS Zaandam	9		2 		7		0						 	
221	05-02-2022	Vanuatu	7		1 		6		0		22	3	23,000	72,195	318,581 	Australia/Oceania
222	05-02-2022	Marshall Islands	7		 		 7		0		117				59,827 	Australia/Oceania
223	05-02-2022	Tonga	7		 		2		5		65				107,605 	Australia/Oceania
224	05-02-2022	Saint Helena	2		 		2		0		328				6,106 	Africa
225	05-02-2022	Micronesia	1		 		1		0		9				116,946 	Australia/Oceania
