Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Sweden,27-02-2022,"2,441,142",,"17,107 ",,"2,053,042","+53,894","370,993",73,"239,242","1,677"," 18,107,257","1,774,583","10,203,668 ",Europe
Greece,27-02-2022,"2,405,401","+8,214","25,785 ",+66,"2,190,692","+21,361","188,924",417,"232,661","2,494","65,433,870","6,329,062","10,338,637 ",Europe
Iraq,27-02-2022,"2,301,590",+945," 24,975 ",+15,"2,241,001","+2,544","35,614",144,"55,171",599,"17,960,033","430,515","41,717,574 ",Asia
Bangladesh,27-02-2022,"1,942,680",+864,"29,033 ",+9,"1,806,689","+6,264","106,958","1,275","11,604",173,"13,376,734","79,904","167,409,199 ",Asia
Serbia,27-02-2022,"1,908,272","+2,130","15,199 ",+44,"1,790,931","+12,487","102,142",110,"219,872","1,751","8,740,109","1,007,039","8,679,016 ",Europe
Hungary,27-02-2022,"1,779,174",,"43,752 ",,"1,566,509",,"168,913",148,"184,952","4,548","10,733,913","1,115,829","9,619,678 ",Europe
Jordan,27-02-2022,"1,623,474","+6,296","13,814 ",+16,"1,518,754","+21,122","90,906",786,"156,539","1,332","16,246,059","1,566,483","10,371,040 ",Asia
Georgia,27-02-2022," 1,603,007","+4,835","16,138 ",+41,"1,491,321","+13,840","95,548",,"403,123","4,058","15,866,586","3,990,117","3,976,471 ",Asia
Pakistan,27-02-2022,"1,508,504",+847,"30,173 ",+20,"1,441,528","+1,236","36,803","1,113","6,616",132,"26,393,595","115,762","227,998,418 ", Asia
Slovakia,27-02-2022,"1,442,194","+8,264","18,453 ",+40,"1,222,708","+14,158","201,033",235,"263,943","3,377","6,371,850","1,166,145","5,464,027 ",Europe
Kazakhstan,27-02-2022,"1,302,059",+351,"13,592 ",+13,"1,266,669","+1,421","21,798",528,"67,996",710,"11,575,012","604,472","19,148,974 ",Asia
Ireland,27-02-2022,"1,298,145","+2,338","6,475 ",,"1,163,170","+10,374","128,500",48,"258,121","1,287","11,317,728","2,250,398","5,029,212 ",Europe
