Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Grenada,27-02-2022,"13,679",+18,216 ,+2,"13,258",+40,205,4,"120,640","1,905","136,411","1,203,057","113,387 ",North America
Bhutan,27-02-2022,"12,194",+374,6 ,,"7,910",+250,"4,278",,"15,520",8,"1,975,337","2,514,140","785,691 ",Asia
Gambia,27-02-2022,"11,924",,365 ,,"11,461",,98,4,"4,715",144,"135,608","53,619","2,529,087 ",Africa
Liechtenstein,27-02-2022,"11,908",+156,78 ,,"11,187",,643,7,"310,841","2,036","80,413","2,099,063","38,309 ",Europe
Yemen,27-02-2022,"11,769",+9," 2,134 ",+1,"8,689",+1,946,23,381,69,"265,253","8,580","30,914,094 ",Asia
Greenland,27-02-2022,"11,715",,16 ,,"2,761",,"8,938",9,"205,768",281,"164,926","2,896,844","56,933 ",North America
Bermuda,27-02-2022,"11,490",,123 ,,"11,150",,217,,"185,634","1,987","795,082","12,845,450","61,896 ",North America
Dominica,27-02-2022,"11,016",,57 ,,"10,563",,396,,"152,403",789," 165,338","2,287,402","72,282 ",North America
Saint Martin,27-02-2022,"9,877",,63 ,,"1,399",,"8,415",7,"248,422","1,585","78,366","1,971,025","39,759 ",North America
Eritrea,27-02-2022,"9,700",,103 , ,"9,593",,4,,"2,674",28,"23,693","6,531","3,627,768 ",Africa
Sint Maarten,27-02-2022,"9,548",,85 ,,"9,420",,43,10,"218,575","1,946","62,056","1,420,598","43,683 ",North America
Monaco,27-02-2022,"9,377",+2,51 ,,"9,140",+20,186,4,"236,179","1,285","54,960","1,384,278","39,703 ",Europe
Niger,27-02-2022,"8,751",+5,307 ,+1,"8,432",+13,12,1,341,12,"228,471","8,905","25,656,817 ",Africa
Comoros,27-02-2022,"8,033",+1,160 ,,"7,855",+2,18,,"8,923",178,,,"900,287 ",Africa
Guinea-Bissau,27-02-2022,"8,001",+16,167 , +1,"6,978",+1,856,6,"3,912",82,"123,632","60,455","2,045,041 ",Africa
Sierra Leone,27-02-2022,"7,665",,125 ,,N/A,N/A,N/A,,930,15,"259,958","31,526","8,245,724 ",Africa
Caribbean Netherlands,27-02-2022,"7,564",,31 ,,"7,444",,89,,"284,073","1,164","30,126","1,131,408","26,627 ",North America
Antigua and Barbuda,27-02-2022,"7,437",,135 ,,"7,253",,49,1,"74,915","1,360","18,901","190,394","99,273 ",North America
Liberia,27-02-2022,"7,360",,290 ,,"5,747",,"1,323",2,"1,401",55,"139,824","26,610","5,254,574 ",Africa
Chad,27-02-2022,"7,246",,190 ,," 4,874",,"2,182",,421,11,"191,341","11,120","17,206,283 ",Africa
Solomon Islands,27-02-2022,"6,937",+124,96 ,+3,"1,732",,"5,109",4,"9,705",134,"5,117","7,159","714,782 ",Australia/Oceania
St. Vincent Grenadines,27-02-2022,"6,739",,106 ,,"6,591",,42,,"60,426",950,"98,160","880,169","111,524 ",North America
British Virgin Islands,27-02-2022,"6,074",,62 ,,N/A,N/A,N/A,6,"198,724","2,028","99,936","3,269,622"," 30,565 ",North America
Sao Tome and Principe,27-02-2022,"5,934",+1,72 ,,"5,852",+1,10,,"26,268",319,"29,036","128,534","225,902 ",Africa
Turks and Caicos,27-02-2022,"5,867",+7,36 ,,"5,787",,44,4,"148,213",909,"419,792","10,604,825","39,585 ",North America
Saint Kitts and Nevis,27-02-2022,"5,530",,42 ,,"5,480",+7,8,1,"102,744",780,"65,141","1,210,282","53,823 ",North America
St. Barth,27-02-2022,"3,758",,6 ,,N/A,N/A,N/A,,"378,564",604,"56,491","5,690,642","9,927 ",North America
Palau,27-02-2022,"3,726",,6 ,,"2,942",,778,10,"204,310",329,"36,384","1,995,065","18,237 ",Australia/Oceania
Kiribati,27-02-2022,"2,914",+10,11 ,,"2,051",+89,852,4,"23,790",90,,,"122,486 ",Australia/Oceania
Anguilla,27-02-2022,"2,528",,9 ,,"2,506",,13,4,"166,043",591,"51,382","3,374,844","15,225 ",North America
Saint Pierre Miquelon,27-02-2022,"1,070",,1 ,,"1,049",,20,1,"186,184",174,"17,358","3,020,358","5,747 ",North America
Diamond Princess,27-02-2022,712,,13 ,,699,,0,,,,,, ,
Wallis and Futuna,27-02-2022,454,,7 ,,438,,9,,"41,602",641,"20,508","1,879,227","10,913  ",Australia/Oceania
Tonga,27-02-2022,355,, ,,177,,178,,"3,297",,,,"107,681 ",Australia/Oceania
Montserrat,27-02-2022,164,+1,2 ,,161,, 1,,"32,820",400,"8,359","1,672,804","4,997 ",North America
Falkland Islands,27-02-2022,109,, ,,N/A,N/A,N/A,,"29,879",,"8,632","2,366,228","3,648 ",South America
Macao,27-02-2022,81,+1, ,,79,,2,,122,,"5,318","8,009","664,005 ",Asia
Samoa,27-02-2022,33,, ,,3,,30,,165,,,,"200,600 ",Australia/Oceania
Vatican City,27-02-2022,29,, ,,28,,1,,"36,070",,,,804 ,Europe
Cook Islands,27-02-2022,25,+15, ,,4,+1,21,," 1,421",,"1,309","74,413","17,591 ",Australia/Oceania
Vanuatu,27-02-2022,18,,1 ,,6,,11,,56,3,"23,000","72,093","319,033 ",Australia/Oceania
Western Sahara,27-02-2022,10,,1 ,,8,,1,,16,2,,,"621,662 ",Africa
MS Zaandam,27-02-2022,9,,2 ,,7,,0,,,,,, ,
Marshall Islands,27-02-2022,7,, ,,7,,0,,117,,,,"59,852 ",Australia/Oceania
Saint Helena,27-02-2022,2,, ,,2,,0,,327,,,," 6,107 ",Africa
Micronesia,27-02-2022,1,, ,,1,,0,,9,,,,"117,022 ",Australia/Oceania
USA,28-02-2022,"80,647,343","+32,918","975,150 ",+710,"53,500,262","+278,579","26,171,931","7,770","241,300","2,918","950,519,402","2,843,988","334,220,623 ",North America
India,28-02-2022,"42,931,045","+6,915","514,054 ",+211,"42,324,550","+16,864","92,441","8,944","30,610",367,"767,481,346","547,226","1,402,495,010 ",Asia
Brazil,28-02-2022,"28,787,620","+19,516","649,443 ",+248,"26,336,373"," +152,750","1,801,804","8,318","133,856","3,020","63,776,166","296,545","215,064,353 ",South America
France,28-02-2022,"22,702,815","+13,483","138,367 ",+232,"20,901,504","+235,191","1,662,944","2,484","346,539","2,112","246,629,975","3,764,597","65,512,990 ",Europe
UK,28-02-2022,"18,886,701","+27,312","161,361 ",+46,"17,449,650","+98,709","1,275,690",289,"275,810","2,356","480,341,745","7,014,619","68,477,240 ",Europe
Russia,28-02-2022,"16,398,036","+106,920","351,660 ",+733,"13,575,652","+116,742","2,470,724","2,300","112,286","2,408","273,400,000","1,872,113","146,038,217 ",Europe
Germany,28-02-2022,"14,824,148","+95,396","123,446 ",+118,"11,010,700","+168,400","3,690,002","2,494","176,000","1,466","104,701,826","1,243,074","84,228,125 ",Europe
Turkey,28-02-2022,"14,089,456","+64,275","94,445 ",+213,"13,366,184","+76,832","628,827","1,128","164,130","1,100","143,811,260","1,675,275","85,843,385 ",Asia
Italy,28-02-2022,"12,782,836","+17,981","154,767 ",+207,"11,528,135","+40,415","1,099,934",714,"211,937","2,566","187,336,379","3,105,997","60,314,412 ",Europe
Spain,28-02-2022,"10,977,524",,"99,410 ",,"9,181,728",,"1,696,386","1,053","234,639","2,125","471,036,328","10,068,148","46,784,805 ",Europe
Argentina,28-02-2022,"8,900,656","+3,478","126,152 ",+32,"8,682,190","+11,244","92,314","1,136","193,985","2,749","34,257,979","746,633","45,883,272 ",South America
Iran,28-02-2022,"7,051,429","+10,962","136,838 ",+207,"6,652,188","+18,062","262,403","3,952","82,209","1,595","47,252,235","550,887","85,774,800 ",Asia
Netherlands,28-02-2022,"6,361,626","+28,854","21,554 ",+6,"4,332,685","+48,536","2,007,387",173,"369,911","1,253","21,107,399","1,227,336","17,197,734 ",Europe
Colombia,28-02-2022,"6,064,583","+1,882","138,767 ",+74,"5,890,563","+2,089","35,253",342,"117,118","2,680","33,194,144","641,038","51,781,879 ",South America
Poland,28-02-2022,"5,667,054","+6,564","111,317 ",+1,"5,057,169","+18,060","498,568",841,"150,010","2,947","33,629,931","890,202","37,777,881 ",Europe
Indonesia,28-02-2022,"5,564,448","+25,054","148,335 ",+262,"4,861,415","+43,992","554,698","2,911","19,993",533,"84,648,008","304,141","278,317,985 ",Asia
Mexico,28-02-2022,"5,506,105","+3,519","318,086 ",+72,"4,773,131","+8,480","414,888","4,798","41,974","2,425","15,084,437","114,992","131,178,195 ",North America
Japan,28-02-2022,"4,950,649","+63,703","23,446 ",+176,"4,190,125","+75,700","737,078","1,461","39,343",186,"38,792,473","308,282","125,834,478 ",Asia
Ukraine,28-02-2022,"4,809,624",,"105,505 ",,"4,058,020",,"646,099",177,"111,082","2,437","19,521,252","450,857","43,298,110 ",Europe
South Africa,28-02-2022,"3,674,042",+785,"99,412 ",+183,"3,543,109","+1,379","31,521",546,"60,680","1,642","23,085,457","381,275","60,548,073 ",Africa
Philippines,28-02-2022,"3,661,997",+951," 56,451 ",+50,"3,553,367","+1,717","52,179",298,"32,697",504,"28,203,435","251,820","111,998,366 ",Asia
Israel,28-02-2022,"3,634,510","+16,065","10,198 ",+72,"3,547,010","+16,025","77,302",534,"389,718","1,094","41,373,364","4,436,346","9,326,000 ",Asia
Czechia,28-02-2022,"3,574,328",,"38,592 ",,"3,435,396",,"100,340",221,"332,746","3,593","52,579,250","4,894,771","10,741,922 ",Europe
Belgium,28-02-2022,"3,544,034",,"30,121 ",,"2,977,603","+68,285","536,310",269,"303,603","2,580","31,623,639","2,709,069","11,673,249 ",Europe
Peru,28-02-2022,"3,517,260",+996,"210,672 ",+134,N/A,N/A,N/A,975,"104,267","6,245","27,364,060","811,194","33,733,067 ",South America
Malaysia,28-02-2022,"3,442,736","+23,100","32,749 ",+75,"3,116,564","+30,294","293,423",361,"104,157",991,"49,602,479","1,500,681","33,053,310 ",Asia
Vietnam,28-02-2022,"3,321,005",,"40,144 ",,"2,411,912",,"868,949","3,190","33,617",406,"79,078,763","800,470","98,790,435 ",Asia
Canada,28-02-2022,"3,292,980","+5,925","36,602 ",+65,"3,145,873","+14,513","110,505",666,"85,999",956,"58,130,321","1,518,131","38,290,727 ",North America
Portugal,28-02-2022,"3,262,618","+4,209","21,063 ",+24,"2,785,374",+762," 456,181",102,"321,522","2,076","37,805,639","3,725,643","10,147,412 ",Europe
Australia,28-02-2022,"3,211,078","+19,114","5,171 ",+12,"2,981,011",,"224,896",136,"123,549",199,"63,499,306","2,443,193","25,990,292 ",Australia/Oceania
S. Korea,28-02-2022,"3,134,456","+139,615","8,058 ",+114,"969,524",,"2,156,874",715,"61,050",157,"15,804,065","307,817","51,342,343 ",Asia
Chile,28-02-2022,"3,061,019","+18,148","42,353 ",+153,"2,067,063","+30,696","951,603","1,079","157,880","2,184","33,012,243","1,702,695","19,388,225 ",South America
Thailand,28-02-2022,"2,891,927","+22,311","22,936 ",+42,"2,655,349","+17,470","213,642",687,"41,260",327,"17,270,775","246,407","70,090,376 ",Asia
Switzerland,28-02-2022,"2,789,871","+6,717","13,226 ",+8,"2,171,436","+73,592","605,209",137,"318,495","1,510","18,662,771","2,130,563","8,759,549 ",Europe
Romania,28-02-2022,"2,733,484","+4,757","63,414 ",+57,"2,489,778","+17,876","180,292",923,"143,679","3,333","21,040,842","1,105,963","19,024,905 ",Europe
Austria,28-02-2022,"2,679,742","+20,210","14,809 ",+22,"2,395,470","+24,983","269,463",189,"294,749","1,629","158,973,339","17,485,746","9,091,596 ",Europe
Denmark,28-02-2022,"2,633,759","+15,734","4,612 ",+28,"2,243,266","+27,967","385,881",42,"452,068",792,"125,361,779","21,517,564","5,826,021 ",Europe
Sweden,28-02-2022,"2,441,142",,"17,107 ",,"2,092,483","+39,441","331,552",73,"239,242","1,677","18,107,257","1,774,583","10,203,668 ",Europe
Greece,28-02-2022,"2,421,664","+16,263","25,860 ",+75,"2,190,692",,"205,112",413,"234,234","2,501","65,534,935","6,338,837","10,338,637 ",Europe
Iraq,28-02-2022,"2,302,793","+1,203","24,989 ",+14,"2,243,644","+2,643","34,160",148,"55,200",599,"17,973,630","430,841","41,717,574 ",Asia
Bangladesh,28-02-2022,"1,943,577",+897,"29,037 ",+4,"1,814,665","+7,976","99,875","1,275","11,610",173,"13,401,339","80,051","167,409,199 ",Asia
Serbia,28-02-2022,"1,910,975","+2,703","15,241 ",+42,"1,802,008","+11,077"," 93,726",104,"220,183","1,756","8,754,776","1,008,729","8,679,016 ",Europe
Hungary,28-02-2022,"1,787,544","+8,370","43,949 ",+197,"1,588,843","+22,334","154,752",132,"185,822","4,569","10,784,987","1,121,138","9,619,678 ",Europe
 Jordan,28-02-2022,"1,631,708","+8,234","13,835 ",+21,"1,535,778","+17,024","82,095",713,"157,333","1,334","16,285,726","1,570,308","10,371,040 ",Asia
Georgia,28-02-2022,"1,605,472","+2,465","16,163 ",+25,"1,504,161","+12,840","85,148",,"403,743","4,065","15,880,724","3,993,673"," 3,976,471 ",Asia
Pakistan,28-02-2022,"1,509,360",+856,"30,178 ",+5,"1,443,284","+1,756","35,898","1,052","6,620",132,"26,426,952","115,908","227,998,418 ",Asia
Slovakia,28-02-2022,"1,446,922","+4,728","18,485 ",+32,"1,231,220","+8,512","197,217",234,"264,809","3,383","6,380,675","1,167,761","5,464,027 ",Europe
Kazakhstan,28-02-2022,"1,302,322",+263,"13,596 ",+4,"1,267,502",+833,"21,224",528,"68,010",710,"11,575,012","604,472","19,148,974 ",Asia
Ireland,28-02-2022,"1,300,422","+2,277","6,497 ",+22,"1,168,261","+5,091","125,664",47,"258,574","1,292","11,377,091","2,262,202","5,029,212 ",Europe
Norway,28-02-2022,"1,242,160","+10,394","1,598 ",,"88,952",,"1,151,610",18,"226,196", 291,"9,852,076","1,794,054","5,491,516 ",Europe
Morocco,28-02-2022,"1,160,975",+83,"15,988 ",+10,"1,140,720",+563,"4,267",293,"30,848",425,"11,237,010","298,573","37,635,711 ",Africa
Bulgaria,28-02-2022,"1,091,279","+2,759","35,581 ",+99,"840,177","+5,833","215,521",473,"159,039","5,185","9,188,343","1,339,073","6,861,717 ",Europe
Cuba,28-02-2022,"1,069,862",+475,"8,494 ",,"1,058,640",+480,"2,728",34,"94,551",751,"12,920,253","1,141,854","11,315,153 ",North America
Lebanon,28-02-2022,"1,068,710","+1,870","10,091 ",+12,"682,977",,"375,642",186,"157,749","1,489","4,795,578","707,859","6,774,765 ",Asia
Croatia,28-02-2022,"1,054,794",+198,"15,069 ",+39,"1,027,821","+2,770","11,904",98,"259,591","3,709","4,512,457","1,110,543","4,063,290 ",Europe
Tunisia,28-02-2022,"998,230",+476,"27,784 ",+11,"950,873","+3,056","19,573",222,"83,022","2,311","4,343,907","361,281","12,023,611 ",Africa
Nepal,28-02-2022,"976,984",+119,"11,936 ",+1,"956,813",+400,"8,235",100,"32,561",398,"5,421,609","180,689","30,005,122 ",Asia
Belarus,28-02-2022,"919,736","+2,268","6,480 ",+10,"908,132","+2,089","5,124",,"97,387",686,"12,438,809","1,317,089","9,444,169 ",Europe
Lithuania,28-02-2022,"902,554","+1,923","8,421 ",+8,"808,647","+2,175","85,486",95,"339,394","3,167","7,746,771","2,913,073","2,659,312 ",Europe
Bolivia,28-02-2022,"893,330",+107,"21,432 ",+6," 788,463","+1,143","83,435",220,"74,838","1,795","2,669,468","223,631","11,936,919 ",South America
Slovenia,28-02-2022,"892,606",+656,"6,306 ",+14,"845,577","+3,629","40,723",104,"429,259","3,033","2,570,219","1,236,032","2,079,412 ",Europe
UAE,28-02-2022,"879,973",+605,"2,301 ",,"834,041","+1,571","43,631",,"87,226",228,"137,766,535","13,655,843","10,088,468 ",Asia
Uruguay,28-02-2022,"842,462","+1,951","6,985 ",+8,"812,907","+3,109","22,570",119,"241,138","1,999","5,705,619","1,633,121","3,493,690 ",South America
Ecuador,28-02-2022,"827,760",,"35,223 ",,N/A,N/A,N/A,759,"45,765","1,947","2,470,170","136,571","18,087,031 ",South America
Costa Rica,28-02-2022,"806,928","+1,264","8,037 ",+6,"667,558","+3,191","131,333",121,"156,042","1,554","3,712,867","717,985","5,171,230 ",North America
Azerbaijan,28-02-2022,"785,670",+369,"9,417 ",+17,"765,373","+1,090","10,880",,"76,348",915,"6,554,964","636,981","10,290,675 ",Asia
Guatemala,28-02-2022,"776,991",,"16,971 ",,"716,900",,"43,120",5,"42,080",919,"3,922,624","212,440","18,464,663 ",North America
Panama,28-02-2022,"755,498",+236,"8,083 ",+4,"741,856","+1,043","5,559",26,"170,644","1,826","5,517,801","1,246,306","4,427,324 ",North America
Saudi Arabia,28-02-2022,"745,027",+653,"8,998 ",+2,"723,549","+1,081","12,480",601,"20,862",252,"40,704,052","1,139,775","35,712,345 ",Asia
Singapore,28-02-2022,"724,424","+13,544","1,019 ",+12,"669,243","+18,884","54,162",32,"122,232",172,"23,141,120","3,904,608","5,926,618 ",Asia
Latvia,28-02-2022,"653,120","+3,616","5,239 ",+9,"513,598",,"134,283",76,"352,729","2,829","6,711,057","3,624,421","1,851,622 ",Europe
Sri Lanka,28-02-2022,"646,034",+997,"16,222 ",+32,"608,924",+205,"20,888",,"29,962",752,"6,282,076","291,348","21,562,107 ",Asia
Paraguay,28-02-2022,"641,767",+446,"18,367 ",+8,"609,477"," +1,003","13,923",144,"88,182","2,524","2,529,065","347,506","7,277,754 ",South America
Finland,28-02-2022,"637,757",+28,"2,366 ",+2,"46,000",,"589,391",35,"114,808",426,"9,927,154","1,787,069","5,554,991 ",Europe
Kuwait,28-02-2022,"619,894",+584,"2,538 ",+1,"608,143","+1,486","9,213",56,"141,682",580,"7,645,362","1,747,416","4,375,238 ",Asia
Myanmar,28-02-2022,"587,891","+1,693","19,368 ",+3,"534,774","+1,379","33,749",,"10,686",352,"7,120,830","129,435","55,014,511 ",Asia
Palestine,28-02-2022,"576,078",+706,"5,226 ",+10,"555,027","+2,005","15,825",104,"108,738",986,"3,078,533","581,092","5,297,838 ",Asia
Dominican Republic,28-02-2022,"574,556",+264,"4,368 ", ,"568,322",+291,"1,866",40,"52,099",396,"3,115,197","282,475","11,028,235 ",North America
Venezuela,28-02-2022,"515,124",+329,"5,636 ",+3,"503,133",+715,"6,355",230,"18,201",199,"3,359,014","118,683","28,302,347 ",South America
Bahrain,28-02-2022,"514,883","+2,577","1,454 ",+1,"487,781","+2,776","25,648",16,"286,131",808,"9,397,068","5,222,134","1,799,469 ",Asia
Moldova,28-02-2022,"501,800",+488,"11,216 ",+3,"476,641",+723,"13,943",96,"124,875","2,791","3,024,067","752,552","4,018,418 ",Europe
Libya,28-02-2022,"494,446",+898,"6,261 ",+11,"463,762","+2,660","24,423",129,"70,372",891,"2,423,118","344,871","7,026,150 ",Africa
Estonia,28-02-2022,"494,430","+2,281","2,236 ",+11,"368,812","+1,885","123,382",25,"372,308","1,684","3,100,487","2,334,679","1,328,014 ",Europe
Egypt,28-02-2022,"483,771","+1,523","24,074 ",+34,"413,482","+1,321","46,215",122,"4,584",228,"3,693,367","34,998","105,532,272 ",Africa
Ethiopia,28-02-2022,"468,727",+53,"7,462 ",+2,"417,161",+457,"44,104",86,"3,917",62,"4,505,854","37,649","119,679,812 ",Africa
Mongolia,28-02-2022,"464,211",+166,"2,168 ",,"313,256",,"148,787",192,"137,921",644,"4,030,048","1,197,361","3,365,774 ",Asia
Armenia,28-02-2022,"419,832",+139,"8,461 ",+12,"401,677",+837,"9,694",,"141,242","2,846","2,894,588","973,813","2,972,426 ",Asia
Honduras,28-02-2022,"411,212",,"10,720 ",,"127,663",,"272,829",105,"40,451","1,055","1,263,329","124,274","10,165,654 ",North America
Oman,28-02-2022,"382,244",+863,"4,244 ",+2,"368,677","+1,473","9,323",60,"71,827",797,"25,000,000","4,697,736","5,321,712 ",Asia
Bosnia and Herzegovina,28-02-2022,"371,202",+135,"15,459 ",+24,"192,218",,"163,525",,"114,322","4,761","1,699,911","523,536","3,246,982 ",Europe
Qatar,28-02-2022,"356,982",+311,670 ,+2," 353,139",+586,"3,173",20,"127,139",239,"3,374,531","1,201,840","2,807,805 ",Asia
Kenya,28-02-2022,"322,946",+16,"5,639 ",,"303,261",+13,"14,046",4,"5,794",101,"3,371,198","60,488","55,733,280 ",Africa
Cyprus,28-02-2022,"322,516","+2,356",856 ,+2,"124,370",,"197,290",60,"263,940",701,"9,477,138","7,755,876","1,221,930 ",Asia
Zambia,28-02-2022,"312,750",+43,"3,952 ",,"307,102",+256,"1,696",1,"16,258",205,"3,270,113","169,995","19,236,469 ",Africa
North Macedonia,28-02-2022,"297,262",+181,"9,010 ",+9,"284,756",+848,"3,496",,"142,693","4,325","1,890,628","907,546","2,083,232 ",Europe
Réunion,28-02-2022,"292,126",,640 ,,"274,185",,"17,301",40,"322,469",706,"1,424,291","1,572,230","905,905 ",Africa
Albania,28-02-2022,"271,563",+36,"3,469 ",+5,"265,588",+313,"2,506",13,"94,536","1,208","1,743,290","606,871","2,872,587 ",Europe
Algeria,28-02-2022,"264,936",+81,"6,835 ",+4,"177,513",+76,"80,588",11,"5,866",151,"230,861","5,112","45,163,044 ",Africa
Botswana,28-02-2022,"263,950",,"2,619 ",,"259,434",,"1,897",1,"108,608","1,078","2,026,898"," 834,015","2,430,289 ",Africa
Nigeria,28-02-2022,"254,560",+35,"3,142 ",,"249,079",+66,"2,339",11,"1,186",15,"4,442,964","20,703","214,601,293 ",Africa
Uzbekistan,28-02-2022,"236,405",+106,"1,635 ", +2,"232,918",+321,"1,852",23,"6,898",48,"1,377,915","40,204","34,273,078 ",Asia
Zimbabwe,28-02-2022,"235,975",,"5,394 ",,"226,069",,"4,512",12,"15,503",354,"2,078,325","136,539","15,221,494 ",Africa
Montenegro,28-02-2022,"230,207",+87,"2,680 ",+4,"226,015",+168,"1,512",60,"366,456","4,266","1,169,541","1,861,739","628,198 ",Europe
Mozambique,28-02-2022,"225,047",+9,"2,192 ",,"219,430",+109,"3,425",13,"6,881",67,"1,268,833","38,796","32,705,391 ",Africa
Hong Kong,28-02-2022,"205,780","+34,466",744 ,+85,"13,232",,"191,804",16,"27,084",98,"36,260,319","4,772,469","7,597,812 ",Asia
Kyrgyzstan,28-02-2022,"200,500",+22,"2,957 ",+1,"195,161",+105,"2,382",131,"29,914",441,"1,907,195","284,547","6,702,560 ",Asia
Luxembourg,28-02-2022,"183,177","+1,274",991 ,+3,"173,718","+2,340","8,468",6,"284,943","1,542","4,069,682","6,330,647","642,854 ",Europe
Afghanistan,28-02-2022,"173,659",+94,"7,598 ",+2,"156,326",+407,"9,735","1,124","4,301",188,"890,731","22,058","40,380,544 ",Asia
Maldives,28-02-2022,"170,192",+560,297 ,,"154,864",+618,"15,031",25,"305,925",534,"2,187,033","3,931,257","556,319 ",Asia
Uganda,28-02-2022,"163,266",+16,"3,588 ",,"99,995",+5,"59,683",35,"3,392",75,"2,460,535","51,120","48,132,380 ",Africa
Ghana,28-02-2022," 159,674",+550,"1,442 ",,"157,623",+490,609,1,"4,967",45,"2,321,483","72,214","32,147,436 ",Africa
Namibia,28-02-2022,"157,225",+15,"4,007 ",,"152,694",,524,2,"60,075","1,531","955,455","365,075","2,617,148 ",Africa
El Salvador,28-02-2022,"156,364",+396,"4,071 ",+3,"132,410",+754,"19,883",153,"23,907",622,"1,758,939","268,932","6,540,466 ",North America
Laos,28-02-2022,"142,743",+134,621 ,,"7,660",," 134,462",,"19,159",83,"1,000,342","134,265","7,450,526 ",Asia
Cambodia,28-02-2022,"130,276",+356,"3,032 ",,"123,772",+419,"3,472",,"7,617",177,"2,859,086","167,174","17,102,442 ",Asia
Iceland,28-02-2022,"129,844","+1,099",62 ,+1,"75,685",,"54,097",2,"376,452",180,"1,754,901","5,087,923","344,915 ",Europe
Rwanda,28-02-2022,"129,502",+13,"1,457 ",,"45,522",,"82,523",1,"9,604",108,"4,845,030","359,318","13,483,964 ",Africa
Jamaica,28-02-2022,"127,986",+25,"2,813 ",,"76,987",+284,"48,186",25,"42,911",943,"851,460","285,476","2,982,596 ",North America
Trinidad and Tobago,28-02-2022,"127,767",+363,"3,628 ",+6,"102,314", +269,"21,825",18,"90,808","2,579","628,553","446,732","1,407,002 ",North America
Guadeloupe,28-02-2022,"126,642",,837 ,,"2,250",,"123,555",19,"316,418","2,091","938,039","2,343,709","400,237 ",North America
Cameroon,28-02-2022,"119,240",,"1,923 ",,"117,089",,228,13,"4,314",70,"1,751,774","63,378","27,640,233 ",Africa
Martinique,28-02-2022,"112,901",,876 ,,104,,"111,921",16,"301,244","2,337","678,821","1,811,237","374,783 ",North America
China,28-02-2022," 109,326",+234,"4,636 ",,"101,936",+68,"2,754",21,76,3,"160,000,000","111,163","1,439,323,776 ",Asia
New Zealand,28-02-2022,"100,821","+14,683",56 ,,"18,332",+218,"82,433",,"20,156",11,"6,711,198","1,341,676","5,002,100 ",Australia/Oceania
Angola,28-02-2022,"98,741",+40,"1,900 ",+1,"96,680",+58,161,,"2,857",55,"1,428,954","41,348","34,558,792 ",Africa
DRC,28-02-2022,"86,018",+19,"1,335 ",,"50,930",,"33,753",,914,14,"846,704","9,001","94,069,263 ",Africa
Senegal,28-02-2022,"85,693",+17,"1,960 ",,"83,631",+9,102,2,"4,904",112,"1,014,840","58,075","17,474,620 ",Africa
Malawi,28-02-2022,"85,339",+11,"2,615 ",,"75,600",+22,"7,124",67,"4,278",131,"546,965","27,419","19,948,581 ",Africa
Ivory Coast,28-02-2022,"81,483",+16,793 ,+1,"79,892",+76,798,,"2,967",29,"1,417,847","51,633","27,460,090 ",Africa
Suriname,28-02-2022,"78,123",+31,"1,316 ",,"49,355",+1,"27,452",3,"131,223","2,210","228,303","383,480","595,345 ",South America
French Guiana,28-02-2022,"77,652",,391 ,,"11,254",,"66,007",6,"249,282","1,255","591,966","1,900,354","311,503 ",South America
Malta,28-02-2022,"71,275",+40,605 ,+1,"69,566",+61,"1,104",3,"160,713","1,364","1,211,456","2,731,624","443,493 ",Europe
Eswatini,28-02-2022,"69,160",+30,"1,390 ",,"67,675",+32,95,11,"58,606","1,178","477,592","404,713","1,180,076 ",Africa
French Polynesia,28-02-2022,"66,699","+1,116",639 ,+1,N/A,N/A,N/A,7,"235,187","2,253",,,"283,600 ",Australia/Oceania
Fiji,28-02-2022,"63,930",+2,834 ,+1,"61,908",+18,"1,188",,"70,468",919,"497,039","547,874","907,214 ",Australia/Oceania
Madagascar,28-02-2022,"63,659",,"1,366 ",,"58,677",,"3,616",61,"2,205",47,"398,434","13,801","28,869,939 ",Africa
Brunei ,28-02-2022,"63,542","+4,095",125 ,+4,"33,512","+2,490","29,905",,"142,976",281,"712,994","1,604,314","444,423 ",Asia
Guyana,28-02-2022,"62,921",+30,"1,220 ",,"61,219",+290,482,8,"79,361","1,539"," 539,596","680,582","792,845 ",South America
Sudan,28-02-2022,"61,458",+82,"3,908 ",+7,"40,329",,"17,221",,"1,349",86,"562,941","12,360","45,545,025 ",Africa
Mauritania,28-02-2022,"58,633",+1,979 ,,"57,604",+2,50,30,"12,084",202,"745,392","153,624","4,852,051 ",Africa
Belize,28-02-2022,"56,694",+97,650 ,,"54,741",+288,"1,303",6,"138,417","1,587","501,604","1,224,655","409,588 ",North America
Cabo Verde,28-02-2022,"55,886",+4,401 ,,"55,414",+5,71,23,"98,739",708,"400,982","708,453","565,997 ",Africa
Barbados,28-02-2022,"55,165",+134,316 ,+1,"52,864",+611,"1,985",,"191,573","1,097","585,575","2,033,543","287,958 ",North America
Syria,28-02-2022,"54,575",+95,"3,075 ",+4,"47,133",+200,"4,367",,"2,998",169,"146,269","8,035","18,204,773 ",Asia
New Caledonia,28-02-2022,"54,177"," +1,170",299 ,,"46,473","+4,155","7,405",32,"186,786","1,031","98,964","341,199","290,048 ",Australia/Oceania
